iter	RMSE
0	1389.999867
1	1382.085418
2	1374.815358
3	1367.899891
4	1361.909334
5	1356.11783
6	1350.664786
7	1345.511962
8	1341.110134
9	1336.894941
10	1332.808387
11	1329.202879
12	1325.764717
13	1322.50784
14	1319.57158
15	1316.610354
16	1314.050671
17	1311.434768
18	1309.350572
19	1306.60103
20	1304.396529
21	1302.001514
22	1299.940015
23	1297.912432
24	1295.969541
25	1294.344173
26	1292.501198
27	1290.645456
28	1288.99505
29	1287.441996
30	1285.609038
31	1284.115518
32	1282.782573
33	1281.229323
34	1280.004454
35	1278.775443
36	1277.698466
37	1276.692954
38	1275.551976
39	1274.386739
40	1273.508341
41	1272.622537
42	1271.587661
43	1270.814922
44	1269.922728
45	1269.017719
46	1268.124937
47	1266.886978
48	1266.117318
49	1265.53459
50	1264.74226
51	1263.948417
52	1263.365609
53	1262.633925
54	1261.576267
55	1260.560288
56	1259.749821
57	1259.1195
58	1258.320717
59	1257.56671
60	1256.812195
61	1256.250824
62	1255.616974
63	1255.100157
64	1254.486043
65	1253.793673
66	1253.30697
67	1252.624122
68	1252.071494
69	1251.623181
70	1251.172138
71	1250.728404
72	1250.184268
73	1249.574944
74	1249.17494
75	1248.682081
76	1248.254465
77	1247.669866
78	1247.16768
79	1246.833043
80	1246.502086
81	1246.033468
82	1245.547099
83	1245.131199
84	1244.519968
85	1244.157358
86	1243.756423
87	1243.388406
88	1243.040089
89	1242.791897
90	1242.495532
91	1242.146493
92	1241.804133
93	1241.518847
94	1241.215822
95	1240.730962
96	1240.425398
97	1240.202264
98	1239.816583
99	1239.532303
100	1239.335654
101	1239.106465
102	1238.808329
103	1238.577042
104	1238.247715
105	1237.975566
106	1237.796684
107	1237.577316
108	1237.348644
109	1237.070803
110	1236.72194
111	1236.422751
112	1236.212819
113	1235.948378
114	1235.727459
115	1235.60319
116	1235.325516
117	1235.09141
118	1234.88108
119	1234.521214
120	1234.306716
121	1234.158926
122	1233.940847
123	1233.805772
124	1233.553914
125	1233.325387
126	1233.062503
127	1232.718315
128	1232.454577
129	1232.112485
130	1231.930628
131	1231.722748
132	1231.612791
133	1231.25494
134	1231.070046
135	1230.833862
136	1230.64951
137	1230.479972
138	1230.310542
139	1230.020769
140	1229.84889
141	1229.559192
142	1229.355703
143	1229.189003
144	1228.973161
145	1228.719668
146	1228.541105
147	1228.444422
148	1228.275414
149	1228.07852
150	1227.924488
151	1227.699709
152	1227.494472
153	1227.308301
154	1227.121133
155	1226.956908
156	1226.802718
157	1226.564916
158	1226.36554
159	1226.184653
160	1226.045549
161	1225.884448
162	1225.720831
163	1225.550704
164	1225.374242
165	1225.243481
166	1225.186657
167	1224.971915
168	1224.726529
169	1224.523287
170	1224.36609
171	1224.275298
172	1224.092021
173	1223.964977
174	1223.831026
175	1223.713081
176	1223.600011
177	1223.459106
178	1223.304563
179	1223.143134
180	1223.014829
181	1222.831926
182	1222.734739
183	1222.603006
184	1222.485742
185	1222.390203
186	1222.248795
187	1222.145859
188	1222.014413
189	1221.871574
190	1221.705026
191	1221.538741
192	1221.446953
193	1221.33406
194	1221.243146
195	1221.104004
196	1220.973011
197	1220.892927
198	1220.757328
199	1220.587285
200	1220.475601
201	1220.347023
202	1220.272511
203	1220.117644
204	1219.916101
205	1219.821555
206	1219.689007
207	1219.569276
208	1219.46439
209	1219.370647
210	1219.24538
211	1219.134082
212	1219.047969
213	1218.948786
214	1218.826915
215	1218.70379
216	1218.549626
217	1218.423128
218	1218.273115
219	1218.15522
220	1218.065507
221	1217.961242
222	1217.831036
223	1217.7166
224	1217.609083
225	1217.496844
226	1217.342546
227	1217.23285
228	1217.148076
229	1217.076186
230	1217.01853
231	1216.907871
232	1216.850833
233	1216.727562
234	1216.632966
235	1216.572496
236	1216.503949
237	1216.432716
238	1216.350331
239	1216.255621
240	1216.172363
241	1216.046935
242	1215.983529
243	1215.901908
244	1215.79467
245	1215.716465
246	1215.576141
247	1215.499131
248	1215.392277
249	1215.295099
250	1215.200978
251	1215.108427
252	1215.045604
253	1215.003341
254	1214.914825
255	1214.826957
256	1214.769816
257	1214.690245
258	1214.602079
259	1214.500131
260	1214.381386
261	1214.312998
262	1214.205407
263	1214.142644
264	1214.043721
265	1213.976057
266	1213.915668
267	1213.847656
268	1213.757739
269	1213.677487
270	1213.565875
271	1213.531476
272	1213.472462
273	1213.424179
274	1213.33187
275	1213.286739
276	1213.232789
277	1213.153869
278	1213.044578
279	1212.950814
280	1212.86193
281	1212.787629
282	1212.702368
283	1212.602451
284	1212.553949
285	1212.482383
286	1212.381134
287	1212.331592
288	1212.256693
289	1212.201941
290	1212.111129
291	1212.055821
292	1211.971961
293	1211.90725
294	1211.82593
295	1211.740775
296	1211.656189
297	1211.573316
298	1211.516951
299	1211.4231
300	1211.334169
301	1211.232271
302	1211.163128
303	1211.072681
304	1211.005168
305	1210.966038
306	1210.891044
307	1210.807261
308	1210.764746
309	1210.684223
310	1210.619779
311	1210.544078
312	1210.493073
313	1210.426372
314	1210.341811
315	1210.278622
316	1210.24364
317	1210.158624
318	1210.085351
319	1209.996928
320	1209.958384
321	1209.923337
322	1209.85718
323	1209.786841
324	1209.716372
325	1209.654942
326	1209.572763
327	1209.511184
328	1209.454868
329	1209.38834
330	1209.345539
331	1209.265249
332	1209.217636
333	1209.159867
334	1209.117893
335	1209.089595
336	1209.017778
337	1208.935562
338	1208.847482
339	1208.817737
340	1208.778905
341	1208.741252
342	1208.676004
343	1208.592104
344	1208.561148
345	1208.523117
346	1208.463995
347	1208.419359
348	1208.375017
349	1208.344422
350	1208.280824
351	1208.205148
352	1208.180382
353	1208.118661
354	1208.064987
355	1208.013076
356	1207.982309
357	1207.888383
358	1207.850427
359	1207.794679
360	1207.764874
361	1207.728291
362	1207.698777
363	1207.666837
364	1207.632467
365	1207.554268
366	1207.504817
367	1207.468943
368	1207.390001
369	1207.345573
370	1207.270886
371	1207.237146
372	1207.166124
373	1207.12384
374	1207.075413
375	1207.038944
376	1207.012039
377	1206.981453
378	1206.895901
379	1206.834753
380	1206.774549
381	1206.737768
382	1206.671471
383	1206.646058
384	1206.574892
385	1206.546272
386	1206.503517
387	1206.473242
388	1206.433382
389	1206.373521
390	1206.336058
391	1206.312513
392	1206.263175
393	1206.158739
394	1206.121733
395	1206.084209
396	1206.012368
397	1205.965631
398	1205.907249
399	1205.863835
400	1205.829385
401	1205.800153
402	1205.747845
403	1205.680429
404	1205.65099
405	1205.58723
406	1205.526
407	1205.455916
408	1205.400945
409	1205.337994
410	1205.314303
411	1205.279465
412	1205.197258
413	1205.150795
414	1205.111655
415	1205.04183
416	1204.969878
417	1204.92989
418	1204.885316
419	1204.843763
420	1204.793712
421	1204.761026
422	1204.691238
423	1204.630483
424	1204.567782
425	1204.514069
426	1204.473985
427	1204.418648
428	1204.361312
429	1204.270944
430	1204.240981
431	1204.175386
432	1204.138863
433	1204.082631
434	1204.030982
435	1203.939418
436	1203.876222
437	1203.808087
438	1203.771096
439	1203.751787
440	1203.709464
441	1203.674373
442	1203.550831
443	1203.49664
444	1203.452107
445	1203.394527
446	1203.339493
447	1203.286059
448	1203.25946
449	1203.228432
450	1203.172997
451	1203.134824
452	1203.060467
453	1203.017298
454	1202.970224
455	1202.924058
456	1202.899487
457	1202.858304
458	1202.82896
459	1202.771322
460	1202.742445
461	1202.711095
462	1202.666834
463	1202.608528
464	1202.585901
465	1202.542416
466	1202.50592
467	1202.459184
468	1202.429999
469	1202.378507
470	1202.32109
471	1202.291771
472	1202.215497
473	1202.170843
474	1202.135584
475	1202.10258
476	1202.055494
477	1202.030724
478	1201.992543
479	1201.940227
480	1201.876112
481	1201.817862
482	1201.769738
483	1201.741815
484	1201.691353
485	1201.648801
486	1201.618192
487	1201.591498
488	1201.506961
489	1201.471668
490	1201.410464
491	1201.358948
492	1201.304191
493	1201.298442
494	1201.276236
495	1201.242204
496	1201.214829
497	1201.162861
498	1201.103826
499	1201.066859
