iter	Passed	Remaining
0	2580	1287787
1	5146	1281442
2	7619	1262322
3	8673	1075457
4	9282	918974
5	9859	811724
6	10381	731134
7	10889	669676
8	11369	620262
9	11862	581265
10	12353	549177
11	12882	523888
12	13389	501588
13	13861	481181
14	14379	464941
15	14902	450786
16	15417	438047
17	15946	427016
18	16440	416214
19	16933	406402
20	17443	397888
21	17935	389684
22	18444	382525
23	18951	375872
24	19501	370521
25	20010	364800
26	20527	359615
27	21023	354403
28	21531	349695
29	22051	345469
30	22579	341608
31	23094	337753
32	23589	333832
33	24080	330045
34	24556	326251
35	25090	323382
36	25602	320378
37	26101	317337
38	26622	314689
39	27141	312128
40	27645	309497
41	28147	306941
42	28652	304515
43	29153	302137
44	29639	299691
45	30144	297517
46	30679	295701
47	31179	293605
48	31691	291695
49	32167	289506
50	32685	287762
51	33199	286029
52	33714	284345
53	34209	282548
54	34704	280787
55	35230	279324
56	35717	277597
57	36279	276476
58	36816	275189
59	37334	273783
60	37857	272449
61	38356	270973
62	38941	270115
63	39451	268766
64	39940	267291
65	40415	265759
66	40900	264328
67	41415	263110
68	41935	261945
69	42447	260750
70	42944	259480
71	43431	258174
72	43912	256856
73	44400	255604
74	44881	254327
75	45357	253047
76	45866	251967
77	46361	250830
78	46854	249695
79	47355	248616
80	47820	247368
81	48315	246290
82	48816	245256
83	49306	244184
84	49777	243030
85	50279	242042
86	50782	241072
87	51324	240289
88	51837	239383
89	52353	238499
90	52868	237616
91	53344	236571
92	53836	235607
93	54335	234683
94	54899	234045
95	55389	233096
96	55862	232086
97	56362	231202
98	56883	230405
99	57376	229506
100	57858	228568
101	58386	227821
102	58867	226895
103	59386	226126
104	59916	225401
105	60419	224577
106	60934	223806
107	61422	222941
108	61905	222066
109	62413	221283
110	62944	220590
111	63430	219741
112	63940	218981
113	64424	218138
114	64913	217320
115	65390	216466
116	65871	215629
117	66367	214850
118	66888	214156
119	67397	213425
120	67893	212656
121	68388	211892
122	68868	211084
123	69385	210394
124	69872	209618
125	70401	208970
126	70976	208457
127	71494	207780
128	72015	207113
129	72549	206487
130	73076	205842
131	73615	205230
132	74147	204602
133	74657	203915
134	75142	203162
135	75654	202486
136	76143	201752
137	76623	200996
138	77095	200225
139	77570	199466
140	78052	198729
141	78529	197983
142	79029	197297
143	79522	196597
144	79992	195843
145	80471	195115
146	80964	194423
147	81441	193697
148	81938	193021
149	82444	192369
150	82924	191659
151	83451	191060
152	83923	190337
153	84424	189681
154	84916	189007
155	85410	188341
156	85906	187681
157	86455	187137
158	87007	186601
159	87514	185967
160	88043	185383
161	88558	184770
162	89058	184127
163	89555	183479
164	90068	182867
165	90554	182200
166	91021	181498
167	91531	180883
168	92032	180253
169	92533	179624
170	93001	178932
171	93477	178258
172	93985	177648
173	94487	177027
174	94970	176372
175	95474	175759
176	95935	175068
177	96444	174467
178	96973	173901
179	97481	173300
180	97954	172637
181	98463	172040
182	98941	171390
183	99443	170783
184	99916	170128
185	100424	169534
186	100945	168962
187	101413	168303
188	101873	167632
189	102345	166984
190	102819	166342
191	103290	165695
192	103788	165093
193	104272	164471
194	104768	163868
195	105262	163264
196	105762	162670
197	106243	162048
198	106714	161411
199	107198	160797
200	107698	160207
201	108185	159599
202	108686	159014
203	109216	158471
204	109755	157941
205	110335	157468
206	110906	156983
207	111438	156442
208	111971	155902
209	112495	155350
210	113040	154828
211	113601	154326
212	114137	153790
213	114702	153293
214	115272	152803
215	115798	152252
216	116385	151784
217	116907	151228
218	117458	150711
219	117963	150135
220	118506	149607
221	119007	149027
222	119548	148497
223	120075	147950
224	120580	147376
225	121116	146840
226	121669	146325
227	122191	145772
228	122733	145243
229	123207	144635
230	123702	144052
231	124207	143480
232	124703	142900
233	125220	142344
234	125713	141762
235	126205	141179
236	126689	140588
237	127179	140003
238	127657	139408
239	128185	138867
240	128674	138285
241	129186	137728
242	129656	137126
243	130159	136560
244	130677	136011
245	131159	135424
246	131643	134841
247	132173	134305
248	132654	133719
249	133143	133143
250	133653	132588
251	134148	132018
252	134649	131456
253	135113	130857
254	135592	130275
255	136074	129696
256	136576	129136
257	137066	128565
258	137537	127979
259	138034	127416
260	138534	126857
261	139012	126278
262	139523	125730
263	140002	125153
264	140517	124610
265	141108	124133
266	141619	123585
267	142091	123004
268	142595	122451
269	143078	121881
270	143550	121302
271	144052	120749
272	144563	120204
273	145048	119638
274	145548	119085
275	146026	118514
276	146509	117947
277	147010	117396
278	147535	116864
279	148035	116313
280	148536	115763
281	149045	115219
282	149565	114684
283	150054	114126
284	150552	113574
285	151083	113048
286	151563	112484
287	152025	111907
288	152517	111353
289	153004	110796
290	153547	110279
291	154050	109734
292	154549	109186
293	155087	108667
294	155616	108140
295	156114	107592
296	156618	107048
297	157129	106510
298	157624	105961
299	158162	105441
300	158656	104892
301	159169	104356
302	159677	103816
303	160214	103296
304	160728	102760
305	161228	102216
306	161717	101666
307	162240	101136
308	162717	100579
309	163225	100041
310	163745	99510
311	164255	98974
312	164761	98435
313	165254	97889
314	165750	97345
315	166241	96798
316	166732	96252
317	167241	95716
318	167711	95159
319	168222	94625
320	168729	94088
321	169249	93560
322	169736	93013
323	170233	92472
324	170750	91942
325	171215	91385
326	171745	90862
327	172241	90321
328	172726	89776
329	173223	89236
330	173689	88681
331	174214	88156
332	174695	87609
333	175193	87072
334	175670	86524
335	176162	85984
336	176649	85441
337	177161	84911
338	177700	84394
339	178184	83851
340	178657	83303
341	179142	82761
342	179665	82237
343	180197	81717
344	180698	81183
345	181195	80647
346	181729	80128
347	182219	79589
348	182718	79055
349	183226	78525
350	183818	78031
351	184331	77502
352	184827	76968
353	185353	76445
354	185854	75912
355	186392	75394
356	186919	74872
357	187483	74364
358	188028	73849
359	188623	73353
360	189201	72850
361	189713	72321
362	190201	71784
363	190699	71250
364	191192	70715
365	191719	70192
366	192227	69662
367	192688	69116
368	193196	68587
369	193680	68049
370	194183	67519
371	194682	66987
372	195217	66468
373	195719	65937
374	196212	65404
375	196685	64864
376	197144	64320
377	197624	63783
378	198079	63238
379	198568	62705
380	199058	62173
381	199518	61631
382	200003	61097
383	200474	60559
384	200975	60031
385	201435	59491
386	201900	58952
387	202349	58410
388	202848	57882
389	203393	57367
390	203913	56845
391	204384	56309
392	204849	55773
393	205336	55242
394	205810	54709
395	206303	54180
396	206808	53655
397	207308	53129
398	207795	52599
399	208253	52063
400	208726	51531
401	209217	51003
402	209724	50479
403	210234	49956
404	210763	49438
405	211287	48918
406	211786	48393
407	212303	47872
408	213089	47411
409	213608	46889
410	214119	46366
411	214633	45843
412	215204	45333
413	215739	44815
414	216252	44292
415	216720	43760
416	217259	43243
417	217871	42740
418	218380	42216
419	218886	41692
420	219366	41163
421	219851	40636
422	220350	40111
423	220847	39585
424	221358	39063
425	221851	38537
426	222363	38015
427	222909	37498
428	223470	36984
429	223965	36459
430	224452	35933
431	224965	35411
432	225458	34886
433	226010	34370
434	226548	33852
435	227093	33334
436	227647	32818
437	228150	32295
438	228656	31772
439	229153	31248
440	229616	30719
441	230105	30194
442	230610	29672
443	231079	29145
444	231565	28620
445	232065	28097
446	232559	27574
447	233047	27050
448	233510	26523
449	233978	25997
450	234457	25473
451	234921	24947
452	235424	24425
453	235880	23899
454	236364	23376
455	236873	22856
456	237343	22332
457	237812	21808
458	238278	21284
459	238758	20761
460	239205	20236
461	239693	19715
462	240160	19192
463	240640	18670
464	241110	18148
465	241588	17626
466	242077	17106
467	242585	16587
468	243107	16068
469	243601	15549
470	244080	15028
471	244615	14511
472	245127	13992
473	245649	13474
474	246141	12954
475	246614	12434
476	247122	11915
477	247616	11396
478	248107	10877
479	248603	10358
480	249137	9841
481	249633	9322
482	250153	8804
483	250628	8285
484	251146	7767
485	251617	7248
486	252086	6729
